,,,,Accuracy,Accuracy,Sensitivity,Sensitivity,Specificity,Specificity,f1,f1,ROCcurve,ROCcurve
,,,,mean,std,mean,std,mean,std,mean,std,mean,std
endpoint,thr,cv,test,,,,,,,,,,
andro,0.44,30,0.1,0.6681064383286001,0.09569358187382085,0.4267865467865467,0.1712101617825793,0.9094263298706537,0.04745130873696274,0.4293634199512631,0.16675149127468064,0.6455372549019607,0.08358516513930325
carcino,0.36,30,0.1,0.691232449350702,0.11147909446820577,0.626891256891257,0.14803841294505787,0.7555736418101475,0.10034932039627659,0.6164921154334355,0.1402300042660664,0.6536077235772358,0.07788025193042872
chrom,0.37,30,0.1,0.605013273763274,0.1731924876052019,0.5592568542568543,0.24843603453768934,0.6507696932696931,0.16830081823743867,0.5565436176497559,0.24149512995749842,0.5814814814814814,0.10280412904424918
devtox,0.54,30,0.1,0.6788124546504666,0.17682962565694513,0.9038153854914094,0.07173409344170054,0.45380952380952394,0.3400453714443219,0.8911689210337557,0.06615502475932857,0.6248518518518519,0.1432254734904482
estro,0.45,30,0.1,0.6383525776663639,0.1573416504155176,0.31353174603174605,0.3092654731158552,0.9631734093009819,0.02060953792357431,0.3199402449402449,0.2977340548662146,0.6235997267759562,0.13582140617420024
hepa,0.62,30,0.1,0.577496166687343,0.15701918934582187,0.5904683851007381,0.2149849949910196,0.5645239482739483,0.16866219633981364,0.5773132619403107,0.1886183746223995,0.5608058608058608,0.09716901937337707
muta,0.39,30,0.1,0.695840437941831,0.1614519402868296,0.7579982622010486,0.13224842304181664,0.6336826136826139,0.23155082516230982,0.7462428716109114,0.13278332245100183,0.6339056776556776,0.0846970452482964
skin,0.44,30,0.1,0.557771164021164,0.24034030974448042,0.4034920634920635,0.37552618143881966,0.7120502645502645,0.21857637736358762,0.4093560143560143,0.374038774513895,0.5610677083333333,0.13705693753830803
