thr,survived,communities,modularity,survivedNorm,delta
0.05,1528,49,0.14956578306764348,1.0,0.8504342169323565
0.1,1528,40,0.20067130997012753,1.0,0.7993286900298725
0.15,1520,28,0.29742215626017027,0.9947643979057592,0.697342241645589
0.2,1512,23,0.3965113307696606,0.9895287958115183,0.5930174650418577
0.25,1488,33,0.5195615739764462,0.9738219895287958,0.45426041555234964
0.3,1457,43,0.6305381627213531,0.9535340314136126,0.3229958686922595
0.35,1416,61,0.7299801391874915,0.9267015706806283,0.1967214314931368
0.4,1352,85,0.8023527632715621,0.8848167539267016,0.08246399065513943
0.45,1292,116,0.8415816961408273,0.8455497382198953,0.003968042079067979
0.5,1187,145,0.8517579413112181,0.7768324607329843,0.07492548057823378
0.55,1073,179,0.8787196775508025,0.7022251308900523,0.17649454666075015
0.6,967,197,0.9008548557518656,0.6328534031413613,0.26800145261050434
0.65,843,198,0.9188080151348149,0.5517015706806283,0.3671064444541866
0.7,720,192,0.925676954888669,0.4712041884816754,0.4544727664069936
0.75,606,177,0.9439689163499625,0.39659685863874344,0.5473720577112191
0.8,487,155,0.9513134831953751,0.318717277486911,0.6325962057084642
0.85,360,117,0.9518462152045452,0.2356020942408377,0.7162441209637075
0.9,282,96,0.9491347718691827,0.18455497382198952,0.7645797980471932
0.95,190,69,0.9388886180198012,0.1243455497382199,0.8145430682815813
